"date_time","cambTemp"
"1880", -4.85
"1881", -4.47
"1882", -3.58
"1883", -3.74
"1884", -7.05
"1885", -5.46
"1886", -7.13
"1887", -7.75
"1888", -5.3
"1889", -2.11
"1890", -6.42
"1891", -6.55
"1892", -5.84
"1893", -6.07
"1894", -4.86
"1895", -3.92
"1896", -3.41
"1897", -2.26
"1898", -4.33
"1899", -3.45
"1900", -1.7
"1901", -1.47
"1902", -4.09
"1903", -4.8
"1904", -6.19
"1905", -4.06
"1906", -2.67
"1907", -6.23
"1908", -4.49
"1909", -4.67
"1910", -3.79
"1911", -4.25
"1912", -3.97
"1913", -3.94
"1914", -0.94
"1915", -0.92
"1916", -3.64
"1917", -6.28
"1918", -5.08
"1919", -2.11
"1920", -3.13
"1921", -1.84
"1922", -2.9
"1923", -3.07
"1924", -2.58
"1925", -2.86
"1926", -0.35
"1927", -2.01
"1928", -1.13
"1929", -3.95
"1930", -1.79
"1931", -1.17
"1932", -1.4
"1933", -3.03
"1934", -1.25
"1935", -2.82
"1936", -1.25
"1937", -0.17
"1938", 0.59
"1939", -1.45
"1940", 0.86
"1941", 0.37
"1942", 0.56
"1943", -0.16
"1944", 0.59
"1945", -1.08
"1946", -0.93
"1947", 0.36
"1948", -1.03
"1949", -1.37
"1950", -2.58
"1951", -0.87
"1952", -0.39
"1953", 0.58
"1954", -1.73
"1955", -1.66
"1956", -2.9
"1957", 0.23
"1958", 0.84
"1959", 0.46
"1960", -0.28
"1961", 1.01
"1962", 0.27
"1963", 0.27
"1964", -2.98
"1965", -1.97
"1966", -0.75
"1967", -0.16
"1968", -1.12
"1969", 0.19
"1970", 0.84
"1971", -0.75
"1972", -0.17
"1973", 2.64
"1974", -0.5
"1975", 0.2
"1976", -2.06
"1977", 2.56
"1978", 1.66
"1979", 2.46
"1980", 4.15
"1981", 5.31
"1982", 1.68
"1983", 4.67
"1984", 2.57
"1985", 2.3
"1986", 3.11
"1987", 5.05
"1988", 6.31
"1989", 4.6
"1990", 6.4
"1991", 6.37
"1992", 2.93
"1993", 3.33
"1994", 4.66
"1995", 6.76
"1996", 5.87
"1997", 6.59
"1998", 10.13
"1999", 7.11
"2000", 6.98
"2001", 8.12
"2002", 9.6
"2003", 9.32
"2004", 8.19
"2005", 10.48
"2006", 9.24
"2007", 10.3
"2008", 7.81
"2009", 9.5
"2010", 11.05
"2011", 9.39
"2012", 9.22
"2013", 9.77
"2014", 10.47
"2015", 11.7
"2016", 14.92
"2017", 13.61